                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,                 3.2679,                 1.2819,                 3.4177,                 4.1062,              0.0040145,                      1,               0.088457,               0.036087,               0.003613,                    0.9,               0.034946,              0.0063243,                   2.86,                 4.1314,                 3.4173,                 4.6394,              0.0099772,              0.0099772,              0.0099772
                     25,                 3.3683,                  1.338,                 4.1576,                 4.0983,                0.28265,                    0.1,                0.32222,               0.073501,              0.0017632,                    0.3,              0.0051563,             0.00070061,                 3.8102,                 21.507,                 3.9359,                 8.6977,              0.0099762,              0.0099762,              0.0099762
                     26,                 3.2739,                 1.2128,                 3.5162,                 4.0709,                0.33402,                   0.05,                0.31193,                0.13397,              0.0040104,                      1,                0.22931,               0.082912,                 2.9043,                 2.0111,                 3.2673,                 4.1175,              0.0099753,              0.0099753,              0.0099753
                     27,                 3.2366,                 1.0502,                 3.3461,                 4.0245,              0.0037651,                      1,                0.13304,               0.053398,              0.0037651,                      1,                0.11988,               0.062312,                 2.8432,                 1.0662,                 3.6008,                 4.0305,              0.0099743,              0.0099743,              0.0099743
                     28,                 3.0759,                 1.0212,                 3.2277,                 3.9656,               0.011408,                0.11487,               0.050418,               0.022672,              0.0036278,                      1,               0.050036,               0.027469,                 2.7366,                 1.0213,                 7.8811,                 3.9703,              0.0099733,              0.0099733,              0.0099733
                     29,                 3.0723,                0.88996,                 3.1051,                 3.9748,              0.0075975,                      1,               0.008889,              0.0047374,              0.0080488,                      1,              0.0093735,              0.0055802,                 2.2942,                 1.1055,                 51.922,                 3.6738,              0.0099723,              0.0099723,              0.0099723
                     30,                 3.1371,                0.92046,                 3.0964,                 3.9371,               0.013502,                      1,               0.026127,               0.011626,               0.013502,                      1,               0.025946,                0.01454,                 2.3707,                0.58094,                  9.431,                 3.7902,              0.0099713,              0.0099713,              0.0099713
                     31,                 3.1186,                 0.7292,                 3.1388,                 3.8666,               0.022515,                      1,                0.02472,               0.011465,                0.02264,                      1,               0.025644,               0.013959,                 2.2331,                  1.473,                 41.248,                 3.7426,              0.0099703,              0.0099703,              0.0099703
                     32,                 3.0202,                0.91729,                 3.0584,                 3.8218,                0.24278,                   0.95,                0.41356,                0.14474,                0.32034,                      1,                0.62739,                0.25203,                 2.4529,                0.61499,                  4.138,                 3.8828,              0.0099693,              0.0099693,              0.0099693
                     33,                 2.9566,                0.84964,                 3.0648,                 3.8108,               0.073578,                      1,                0.49384,                0.16644,               0.030395,                      1,                0.51576,                0.22272,                 2.4257,                0.45158,                 3.2183,                 3.7011,              0.0099683,              0.0099683,              0.0099683
                     34,                 2.7753,                0.74944,                 2.8759,                 3.6697,               0.019951,                      1,               0.091911,                0.03127,               0.021058,                      1,                0.10525,               0.039315,                 2.5148,                 0.5611,                 4.7304,                 3.6713,              0.0099673,              0.0099673,              0.0099673
                     35,                  2.999,                 0.7191,                 2.9202,                 3.7139,               0.034378,                   0.95,               0.056101,               0.021398,               0.043499,                   0.95,               0.059187,               0.031743,                 2.4063,                0.40058,                 4.6731,                 3.5459,              0.0099663,              0.0099663,              0.0099663
                     36,                 3.0776,                0.75531,                 2.9593,                 3.6816,               0.096922,                      1,                0.56649,                0.20725,               0.086635,                      1,                0.49993,                0.23894,                 2.4725,                0.55951,                  3.651,                 3.4949,              0.0099654,              0.0099654,              0.0099654
                     37,                 3.3179,                0.75916,                 2.9007,                 3.7004,                0.25156,                    0.7,                0.26606,               0.097067,                0.25156,                    0.7,                0.24608,                0.11517,                   2.37,                0.79038,                 4.8258,                 3.3673,              0.0099644,              0.0099644,              0.0099644
                     38,                 2.9564,                0.66704,                 2.7682,                 3.5687,              0.0023333,                    0.7,              0.0023269,               0.001066,               0.014725,                    0.4,              0.0075471,              0.0022317,                 2.5269,                 1.2555,                 47.244,                 4.0635,              0.0099634,              0.0099634,              0.0099634
                     39,                 2.8725,                0.65354,                 2.8038,                 3.5171,              0.0033411,                      1,              0.0073275,              0.0030354,              0.0092423,                    0.3,              0.0083784,              0.0039107,                 2.3733,                0.70088,                 43.018,                 3.5366,              0.0099624,              0.0099624,              0.0099624
                     40,                    3.1,                0.82144,                 2.6906,                 3.5465,              0.0031714,                   0.95,              0.0051486,              0.0020847,              0.0031714,                   0.95,               0.004961,              0.0025002,                  2.406,                 1.0376,                 37.701,                 3.6188,              0.0099614,              0.0099614,              0.0099614
                     41,                 2.9764,                0.70586,                 2.8422,                 3.5444,                0.08753,                   0.55,               0.067628,               0.014713,               0.079886,                   0.35,               0.071978,               0.021843,                 2.4668,                0.76139,                 11.568,                 3.2298,              0.0099604,              0.0099604,              0.0099604
                     42,                 2.9328,                0.65992,                 2.7396,                 3.4069,              0.0038322,                      1,               0.023935,              0.0086062,               0.024749,                   0.85,               0.025267,               0.011513,                 2.4243,                0.72214,                  5.562,                 3.1771,              0.0099594,              0.0099594,              0.0099594
                     43,                 2.9988,                0.68287,                 2.6621,                 3.3821,               0.099401,                    0.9,                0.14519,                0.04933,                 0.1078,                      1,                0.16348,               0.069497,                 2.5054,                0.77943,                 6.4894,                 3.2114,              0.0099584,              0.0099584,              0.0099584
                     44,                 2.9451,                0.66188,                 2.6493,                 3.3583,              0.0033188,                   0.95,              0.0049712,              0.0017945,               0.013011,                    0.3,              0.0091032,              0.0030741,                 2.6248,                 0.7167,                 10.905,                 3.3678,              0.0099574,              0.0099574,              0.0099574
                     45,                 3.0052,                0.69318,                 2.6998,                 3.3886,              0.0035748,                   0.95,               0.013837,              0.0046227,              0.0054614,                      1,               0.017737,              0.0072223,                 2.5303,                0.80807,                 5.5608,                 3.1135,              0.0099564,              0.0099564,              0.0099564
